48.12651,;11.56338,
48.12646,;11.56353,
48.12641,;11.56368,
48.12637,;11.56380,
48.12631,;11.56395,
48.12627,;11.56409,
48.12623,;11.56420,
48.12619,;11.56435,
48.12615,;11.56445,
48.12611,;11.56457,
48.12608,;11.56469,
48.12605,;11.56461,
48.12600,;11.56458,
48.12596,;11.56453,
48.12590,;11.56450,
48.12583,;11.56445,
48.12576,;11.56440,
48.12570,;11.56436,
48.12561,;11.56428,
48.12553,;11.56423,
48.12544,;11.56407,
48.12549,;11.56393,
48.12558,;11.56382,
48.12570,;11.56382,
48.12582,;11.56392,
48.12593,;11.56401,
48.12603,;11.56409,
48.12615,;11.56418,
